Component,Quantity Per PCB,References,Value,MFN,PN,Description,Footprint,Alternative,Note
1,3,C1-C3,100n,Murata,GRM31C5C1H104JA01L,Unpolarized capacitor,C_1206_3216Metric,,
2,1,C4,100n,Murata,GRM188R71H104KA93D,Unpolarized capacitor,C_0603_1608Metric,,
3,1,J1,CONN_02X04,Amphenol,87606-804LF,"Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",PinSocket_2x04_P2.54mm_Vertical,,
4,1,Q1,J270,On Semiconductor,MMBFJ270,"P-JFET transistor, drain/source/gate",SOT-23,On Semiconductor MMBFJ176,
5,1,R2,2k,Vishay,CRCW06032K00JNEA,Resistor,R_0603_1608Metric,,
6,1,R1,7.5K,Welwyn,PCF0805-13-7K5-B-T1,Resistor,R_0805_2012Metric,Panasonic ERA-6ARB752V,
7,1,RN1,17k/20k,Vishay,Y1691V0689BB9L,Voltage divider,Vishay_300144,,"Vishay 300144Z, 0.1% abs. tol. 0.1% ratio tol."
8,1,U2,LM399,Analog Devices,LM399AH,"Precision Reference, 6.95V, Buried Zener Diode with Thermal Shielding Can, TO-46-4",Analog_TO-46-4_ThermalShield,,Use a TE 8060-1G12 or TE 8060-G22 socket to mount diodes for burn-in
9,1,U3,LT1001,Analog Devices,LT1001CS8,"70MHz, 1000V/µs Operational Amplifier, DIP-8/SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,TI OPA277U,
10,1,U1,TMP236,Texas Instruments,TMP236A2DCKT,"Analog thermistor temperature sensor, ±2.5C accuracy, -55C to +130C, SC-70-5",SOT-353_SC-70-5,,





Component Groups:,10
Component Count:,12
Fitted Components:,12
Number of PCBs:,1
Total components:,12
Schematic Version:,v3.3.0
Schematic Date:,2021-05-20
PCB Variant:,default
BoM Date:,2021-05-20T12:52:17 CEST
Schematic Source:,/home/maat/Documents/Uni/Physik/Phd/DgDrive/KiCAD/reference_board/reference_board.sch
KiCad Version:,Eeschema 5.1.10
